Harga,Perubahan,Tanggal
2.587.000,110.000,1 Apr 2026
2.637.000,50.000,2 Apr 2026
2.577.000,-60.000,3 Apr 2026
2.577.000,0,4 Apr 2026
2.577.000,0,5 Apr 2026
2.550.000,-27.000,6 Apr 2026
2.569.000,19.000,7 Apr 2026
2.664.000,95.000,8 Apr 2026
2.605.000,-59.000,9 Apr 2026
2.619.000,14.000,10 Apr 2026
2.627.000,8.000,11 Apr 2026
2.627.000,0,12 Apr 2026
2.585.000,-42.000,13 Apr 2026
2.639.000,54.000,14 Apr 2026
2.639.000,54.000,15 Apr 2026
2.674.000,0,16 Apr 2026
2.659.000,-15.000,17 Apr 2026
2.681.000,22.000,18 Apr 2026
