Harga,Perubahan,Tanggal
2.368.000,-30.000,1 Aug 2026
2.368.000,0,2 Aug 2026
2.379.000,11.000,3 Aug 2026
2.370.000,-4.000,5 Aug 2026
2.400.000,30.000,6 Aug 2026
2.461.000,-29.000,7 Aug 2026
2.461.000,-29.000,8 Aug 2026
2.511.000,0,9 Aug 2026
2.511.000,0,10 Aug 2026
2.511.000,0,11 Aug 2026
2.516.000,-30.000,12 Aug 2026
2.546.000,30.000,13 Aug 2026
2.510.000,-36.000,14 Aug 2026
2.525.000,15.000,15 Aug 2026
2.525.000,0,16 Aug 2026
2.525.000,0,17 Aug 2026
2.555.000,25.000,18 Aug 2026
2.505.000,-50.000,19 Aug 2026
2.585.000,80.000,20 Aug 2026
2.585.000,0,21 Aug 2026
2.600.000,15.000,22 Aug 2026
2.600.000,0,23 Aug 2026
2.610.000,10.000,24 Aug 2026
2.628.000,18.000,25 Aug 2026
2.610.000,-18.000,26 Aug 2026
