Harga,Perubahan,Tanggal
2.654.000,0,1 Feb 2026
2.654.000,0,2 Feb 2026
2.633.000,-21.000,2 Feb 2026
2.633.000,-21.000,3 Feb 2026
2.624.000,-9.000,3 Feb 2026
2.710.000,86.000,4 Feb 2026
2.737.000,27.000,4 Feb 2026
2.720.000,-17.000,5 Feb 2026
2.720.000,-17.000,6 Feb 2026
2.571.000,-149.000,6 Feb 2026
2.640.000,69.000,6 Feb 2026
2.706.000,66.000,7 Feb 2026
2.706.000,66.000,7 Feb 2026
2.706.000,0,8 Feb 2026
2.734.000,28.000,9 Feb 2026
2.748.000,14.000,10 Feb 2026
2.741.000,-7.000,11 Feb 2026
2.741.000,0,12 Feb 2026
2.688.000,-53.000,13 Feb 2026
2.741.000,53.000,14 Feb 2026
2.741.000,0,15 Feb 2026
2.728.000,-13.000,16 Feb 2026
2.706.000,-22.000,17 Feb 2026
2.655.000,-51.000,18 Feb 2026
2.689.000,34.000,19 Feb 2026
2.694.000,5.000,19 Feb 2026
