Harga,Perubahan,Tanggal
2.609.000,0,1 Jun 2026
2.584.000,-25.000,2 Jun 2026
2.584.000,0,3 Jun 2026
2.571.000,-13.000,4 Jun 2026
2.583.000,12.000,5 Jun 2026
2.531.000,-52.000,6 Jun 2026
2.531.000,0,7 Jun 2026
2.540.000,9.000,8 Jun 2026
2.540.000,9.000,8 Jun 2026
2.527.000,-13.000,9 Jun 2026
2.487.000,-40.000,10 Jun 2026
2.487.000,-40.000,11 Jun 2026
2.450.000,55.000,12 Jun 2026
2.454.000,4.000,13 Jun 2026
2.454.000,0,14 Jun 2026
2.500.000,46.000,15 Jun 2026
2.500.000,0,16 Jun 2026
2.514.000,14.000,17 Jun 2026
2.514.000,14.000,18 Jun 2026
2.475.000,-39.000,18 Jun 2026
2.408.000,-67.000,19 Jun 2026
2.401.000,-7.000,20 Jun 2026
2.401.000,0,21 Jun 2026
2.401.000,0,22 Jun 2026
2.408.000,7.000,23 Jun 2026
2.408.000,7.000,24 Jun 2026
2.320.000,-52.000,25 Jun 2026
2.340.000,20.000,26 Jun 2026
2.378.000,38.000,27 Jun 2026
2.378.000,0,28 Jun 2026
2.360.000,-18.000,29 Jun 2026
2.335.000,-25.000,30 Jun 2026
