Harga,Perubahan,Tanggal
2.864.000,0,1 Mar 2026
2.914.000,50.000,2 Mar 2026
2.901.000,-13.000,3 Mar 2026
2.794.000,-107.000,4 Mar 2026
2.819.000,25.000,5 Mar 2026
2.787.000,-32.000,6 Mar 2026
2.822.000,35.000,7 Mar 2026
2.822.000,0,8 Mar 2026
2.757.000,-65.000,9 Mar 2026
2.788.000,31.000,9 Mar 2026
2.802.000,14.000,10 Mar 2026
2.847.000,45.000,11 Mar 2026
2.804.000,-43.000,12 Mar 2026
2.783.000,-21.000,13 Mar 2026
2.749.000,-34.000,14 Mar 2026
2.749.000,0,15 Mar 2026
2.744.000,-5.000,16 Mar 2026
2.744.000,-5.000,17 Mar 2026
2.740.000,-4.000,17 Mar 2026
2.740.000,-4.000,18 Mar 2026
2.748.000,8.000,18 Mar 2026
2.748.000,8.000,19 Mar 2026
2.665.000,-83.000,19 Mar 2026
2.665.000,-83.000,20 Mar 2026
2.610.000,-55.000,20 Mar 2026
2.610.000,-55.000,21 Mar 2026
2.610.000,0,21 Mar 2026
2.610.000,0,22 Mar 2026
2.610.000,0,23 Mar 2026
2.560.000,-50.000,23 Mar 2026
2.480.000,-80.000,24 Mar 2026
2.507.000,27.000,25 Mar 2026
2.490.000,-17.000,26 Mar 2026
2.490.000,-17.000,27 Mar 2026
2.414.000,-76.000,27 Mar 2026
2.461.000,47.000,28 Mar 2026
2.461.000,0,29 Mar 2026
2.425.000,-36.000,30 Mar 2026
