Harga,Tanggal
2.155.000,1 Nov 2025
2.155.000,2 Nov 2025
2.143.000,3 Nov 2025
2.151.000,4 Nov 2025
2.125.000,5 Nov 2025
2.152.000,6 Nov 2025
2.161.000,7 Nov 2025
2.161.000,8 Nov 2025
2.164.000,9 Nov 2025
2.172.000,10 Nov 2025
2.225.000,11 Nov 2025
,12 Nov 2025
2.261.000,13 Nov 2025
2.261.000,14 Nov 2025
2.209.000,15 Nov 2025
2.209.000,16 Nov 2025
2.212.000,17 Nov 2025
2.183.000,18 Nov 2025
2.204.000,19 Nov 2025
2.204.000,20 Nov 2025
2.209.000,21 Nov 2025
2.202.000,22 Nov 2025
2.202.000,23 Nov 2025
