Harga,Perubahan,Tanggal
2.902.000,75.000,1 Apr 2026
2.922.000,20.000,2 Apr 2026
2.857.000,-65.000,3 Apr 2026
2.857.000,0,4 Apr 2026
2.857.000,0,5 Apr 2026
2.831.000,-26.000,6 Apr 2026
2.850.000,19.000,7 Apr 2026
2.900.000,50.000,8 Apr 2026
2.850.000,-50.000,9 Apr 2026
2.857.000,7.000,10 Apr 2026
2.860.000,3.000,11 Apr 2026
2.860.000,0,12 Apr 2026
2.818.000,-42.000,13 Apr 2026
2.863.000,45.000,14 Apr 2026
2.893.000,30.000,15 Apr 2026
2.888.000,-5.000,16 Apr 2026
2.868.000,-20.000,17 Apr 2026
2.884.000,16.000,18 Apr 2026
2.884.000,0,19 Apr 2026
2.840.000,-44.000,20 Apr 2026
2.880.000,40.000,21 Apr 2026
2.830.000,-50.000,22 Apr 2026
2.805.000,-25.000,23 Apr 2026
