Harga,Perubahan,Tanggal
2.603.000,0,2 Aug 2026
2.610.000,7.000,3 Aug 2026
2.599.000,-4.000,5 Aug 2026
2.679.000,50.000,6 Aug 2026
2.650.000,-29.000,7 Aug 2026
2.650.000,-29.000,8 Aug 2026
2.690.000,0,9 Aug 2026
2.690.000,0,10 Aug 2026
2.690.000,0,11 Aug 2026
2.680.000,-30.000,12 Aug 2026
2.664.000,-36.000,14 Aug 2026
2.675.000,11.000,15 Aug 2026
2.675.000,0,16 Aug 2026
2.675.000,0,17 Aug 2026
2.695.000,18.000,18 Aug 2026
2.645.000,-50.000,19 Aug 2026
2.725.000,80.000,20 Aug 2026
2.725.000,0,21 Aug 2026
2.740.000,15.000,22 Aug 2026
2.740.000,0,23 Aug 2026
2.750.000,10.000,24 Aug 2026
2.768.000,18.000,25 Aug 2026
2.750.000,-18.000,26 Aug 2026
2.723.000,-27.000,27 Aug 2026
2.718.000,-5.000,28 Aug 2026
