Harga,Tanggal
2.421.038,1 Dec 2025
2.431.063,2 Dec 2025
2.418.030,3 Dec 2025
2.412.015,4 Dec 2025
2.413.018,5 Dec 2025
2.413.018,6 Dec 2025
2.410.010,7 Dec 2025
2.410.010,8 Dec 2025
2.415.023,9 Dec 2025
2.409.008,9 Dec 2025
,10 Dec 2025
2.422.040,11 Dec 2025
2.437.078,12 Dec 2025
2.468.155,13 Dec 2025
2.468.155,14 Dec 2025
2.468.155,15 Dec 2025
2.470.160,16 Dec 2025
,17 Dec 2025
2.493.218,18 Dec 2025
2.489.208,19 Dec 2025
2.489.208,20 Dec 2025
2.497.228,21 Dec 2025
,22 Dec 2025
2.567.403,23 Dec 2025
2.596.475,24 Dec 2025
2.596.475,25 Dec 2025
2.582.440,26 Dec 2025
2.595.473,27 Dec 2025
