Harga,Perubahan,Tanggal
2.860.000,-260.000,1 Feb 2026
2.860.000,-260.000,2 Feb 2026
3.027.000,167.000,2 Feb 2026
3.027.000,167.000,3 Feb 2026
2.844.000,-183.000,3 Feb 2026
2.946.000,102.000,4 Feb 2026
2.973.000,27.000,4 Feb 2026
2.956.000,-17.000,5 Feb 2026
2.856.000,-100.000,6 Feb 2026
2.890.000,34.000,6 Feb 2026
2.920.000,30.000,7 Feb 2026
2.920.000,30.000,7 Feb 2026
2.920.000,30.000,8 Feb 2026
2.940.000,20.000,9 Feb 2026
2.954.000,14.000,10 Feb 2026
2.947.000,-7.000,11 Feb 2026
2.947.000,0,12 Feb 2026
2.904.000,-43.000,13 Feb 2026
2.954.000,50.000,14 Feb 2026
2.954.000,50.000,15 Feb 2026
2.940.000,-14.000,16 Feb 2026
2.918.000,-22.000,17 Feb 2026
2.918.000,-22.000,18 Feb 2026
2.878.000,-40.000,18 Feb 2026
2.912.000,34.000,19 Feb 2026
2.916.000,4.000,19 Feb 2026
2.944.000,28.000,20 Feb 2026
3.012.000,68.000,21 Feb 2026
3.012.000,68.000,21 Feb 2026
3.012.000,68.000,22 Feb 2026
3.028.000,16.000,23 Feb 2026
3.068.000,40.000,24 Feb 2026
3.023.000,-45.000,25 Feb 2026
3.039.000,16.000,26 Feb 2026
