Harga,Perubahan,Tanggal
2.630.000,-15.000,1 Jul 2026
2.640.000,15.000,2 Jul 2026
2.651.000,11.000,3 Jul 2026
2.651.000,11.000,4 Jul 2026
2.655.000,-15.000,7 Jul 2026
2.641.000,-14.000,8 Jul 2026
2.633.000,-8.000,9 Jul 2026
2.650.000,17.000,10 Jul 2026
2.655.000,0,12 Jul 2026
2.655.000,0,13 Jul 2026
2.635.000,-20.000,14 Jul 2026
2.615.000,-20.000,15 Jul 2026
2.633.000,-2.000,16 Jul 2026
2.633.000,-2.000,17 Jul 2026
2.610.000,-4.000,20 Jul 2026
2.601.000,-9.000,21 Jul 2026
2.635.000,3.000,22 Jul 2026
2.605.000,-35.000,24 Jul 2026
2.612.000,7.000,25 Jul 2026
