Harga,Perubahan,Tanggal
3.085.000,40.000,1 Mar 2026
3.135.000,50.000,2 Mar 2026
3.122.000,-13.000,3 Mar 2026
3.045.000,-77.000,4 Mar 2026
3.045.000,-77.000,4 Mar 2026
3.049.000,4.000,5 Mar 2026
3.024.000,-25.000,6 Mar 2026
3.059.000,35.000,7 Mar 2026
3.059.000,35.000,8 Mar 2026
3.004.000,-55.000,9 Mar 2026
3.039.000,35.000,9 Mar 2026
3.047.000,8.000,10 Mar 2026
3.087.000,40.000,11 Mar 2026
3.087.000,40.000,12 Mar 2026
3.042.000,-45.000,12 Mar 2026
3.021.000,-21.000,13 Mar 2026
2.997.000,-24.000,14 Mar 2026
2.997.000,-24.000,15 Mar 2026
2.992.000,-5.000,16 Mar 2026
2.992.000,-5.000,17 Mar 2026
2.988.000,-4.000,17 Mar 2026
2.988.000,-4.000,18 Mar 2026
2.996.000,8.000,18 Mar 2026
2.996.000,8.000,19 Mar 2026
2.943.000,-53.000,19 Mar 2026
2.943.000,-53.000,20 Mar 2026
2.893.000,-50.000,20 Mar 2026
2.893.000,-50.000,21 Mar 2026
2.893.000,0,21 Mar 2026
2.893.000,0,22 Mar 2026
2.893.000,0,23 Mar 2026
2.843.000,-50.000,23 Mar 2026
2.843.000,0,24 Mar 2026
2.850.000,7.000,25 Mar 2026
2.850.000,0,26 Mar 2026
2.850.000,0,27 Mar 2026
2.810.000,-40.000,27 Mar 2026
