Harga,Perubahan,Tanggal
2.799.000,30.000,1 May 2026
2.796.000,-3.000,2 May 2026
2.796.000,0,3 May 2026
2.796.000,0,4 May 2026
2.795.000,-1.000,4 May 2026
2.760.000,-35.000,5 May 2026
2.760.000,-35.000,5 May 2026
2.790.000,30.000,6 May 2026
2.840.000,17.000,7 May 2026
2.840.000,17.000,7 May 2026
2.839.000,-1.000,8 May 2026
2.839.000,0,9 May 2026
2.839.000,0,10 May 2026
2.819.000,-20.000,11 May 2026
2.819.000,-20.000,11 May 2026
2.859.000,40.000,12 May 2026
2.839.000,-20.000,13 May 2026
2.839.000,0,14 May 2026
2.819.000,-20.000,15 May 2026
2.769.000,-50.000,16 May 2026
2.769.000,0,17 May 2026
2.764.000,-5.000,18 May 2026
2.789.000,25.000,19 May 2026
2.765.000,-24.000,20 May 2026
2.800.000,35.000,21 May 2026
2.788.000,-12.000,22 May 2026
2.773.000,-15.000,23 May 2026
2.773.000,0,24 May 2026
2.773.000,0,25 May 2026
2.798.000,-5.000,26 May 2026
2.785.000,-13.000,27 May 2026
