Keterangan,Persen,Tanggal
Turun,-1.47,1 Aug 2026
Turun,-1.47,2 Aug 2026
Naik,0.59,3 Aug 2026
Turun,-0.06,4 Aug 2026
Naik,0.16,5 Aug 2026
Naik,0.01,6 Aug 2026
Naik,0.01,7 Aug 2026
Naik,2.39,8 Aug 2026
Naik,2.39,9 Aug 2026
Turun,-0.03,10 Aug 2026
Naik,0.13,11 Aug 2026
Naik,0.19,12 Aug 2026
Turun,-0.16,13 Aug 2026
Naik,0.21,14 Aug 2026
Naik,0.57,15 Aug 2026
Naik,0.57,16 Aug 2026
Naik,0.02,17 Aug 2026
Turun,-0.05,18 Aug 2026
Turun,-0.02,19 Aug 2026
Turun,-0.04,20 Aug 2026
Naik,0.07,21 Aug 2026
Naik,1.86,22 Aug 2026
Naik,1.86,23 Aug 2026
Naik,0.15,24 Aug 2026
Naik,0.21,25 Aug 2026
Naik,0.27,26 Aug 2026
Naik,0.37,27 Aug 2026
