Keterangan,Persen,Tanggal
Naik,0.16,1 Jul 2026
Naik,0.22,2 Jul 2026
Naik,0,3 Jul 2026
Naik,1.25,4 Jul 2026
Naik,1.25,5 Jul 2026
Naik,0.33,6 Jul 2026
Naik,0.04,7 Jul 2026
Turun,-0.12,8 Jul 2026
Turun,-0.02,9 Jul 2026
Naik,0,10 Jul 2026
Turun,-0.08,11 Jul 2026
Turun,-0.08,12 Jul 2026
Turun,-1,13 Jul 2026
Naik,0.01,14 Jul 2026
Turun,-0.06,15 Jul 2026
Naik,0,16 Jul 2026
Turun,-0.07,17 Jul 2026
Naik,1.04,18 Jul 2026
Naik,1.04,19 Jul 2026
Turun,-0.51,20 Jul 2026
Turun,-0.05,21 Jul 2026
Naik,0.17,22 Jul 2026
Turun,-0.2,23 Jul 2026
Turun,-0.01,24 Jul 2026
Naik,0.07,25 Jul 2026
Naik,0.07,26 Jul 2026
Naik,0.95,27 Jul 2026
