Keterangan,Persen,Tanggal
Turun,-0.05,1 Jun 2026
Turun,-0.08,2 Jun 2026
Turun,-0.06,3 Jun 2026
Naik,0.05,4 Jun 2026
Naik,0,5 Jun 2026
Turun,-3.28,6 Jun 2026
Turun,-3.28,7 Jun 2026
Turun,-0.09,8 Jun 2026
Turun,-0.06,9 Jun 2026
Turun,-0.28,10 Jun 2026
Turun,-0.66,11 Jun 2026
Naik,0.32,12 Jun 2026
Naik,0.16,13 Jun 2026
Naik,0.16,14 Jun 2026
Naik,1.56,15 Jun 2026
Naik,0.08,16 Jun 2026
Naik,0.06,17 Jun 2026
Naik,0.19,18 Jun 2026
Turun,-0.1,19 Jun 2026
Turun,-1.28,20 Jun 2026
Turun,-1.28,21 Jun 2026
Turun,-0.01,22 Jun 2026
Turun,-0.07,23 Jun 2026
Turun,-0.17,24 Jun 2026
Naik,0.08,25 Jun 2026
Naik,0.05,26 Jun 2026
Naik,1.54,27 Jun 2026
