Keterangan,Persen,Tanggal
Naik,1.82,1 Mar 2026
Naik,1.82,2 Mar 2026
Naik,0.81,3 Mar 2026
Turun,-4.39,4 Mar 2026
Naik,1.02,5 Mar 2026
Turun,-1.15,6 Mar 2026
Naik,1.76,7 Mar 2026
Naik,1.76,8 Mar 2026
Turun,-0.89,9 Mar 2026
Turun,-0.05,10 Mar 2026
Naik,0.04,11 Mar 2026
Turun,-0.33,12 Mar 2026
Naik,0.24,13 Mar 2026
Turun,-1.19,14 Mar 2026
Turun,-1.19,15 Mar 2026
Turun,-0.14,16 Mar 2026
Turun,-0.09,17 Mar 2026
Turun,-0.21,18 Mar 2026
Naik,0.2,19 Mar 2026
Turun,-0.08,20 Mar 2026
Turun,-3.41,21 Mar 2026
