Keterangan,Persen,Tanggal
Naik,0.2,1 May 2026
Turun,-0.19,2 May 2026
Turun,-0.19,3 May 2026
Naik,0.3,4 May 2026
Turun,-0.11,5 May 2026
Turun,-0.18,6 May 2026
Naik,0.16,7 May 2026
Naik,0.03,8 May 2026
Naik,0.62,9 May 2026
Naik,0.62,10 May 2026
Turun,-0.51,11 May 2026
Naik,0.19,12 May 2026
Naik,0.04,13 May 2026
Naik,0.21,14 May 2026
Naik,0.2,15 May 2026
Turun,-2.4,16 May 2026
Turun,-2.4,17 May 2026
Naik,0.27,18 May 2026
Naik,0.22,19 May 2026
Turun,-0.01,20 May 2026
Turun,-0.05,21 May 2026
Turun,-0.01,22 May 2026
Turun,-0.74,23 May 2026
Turun,-0.74,24 May 2026
Naik,1.08,25 May 2026
Naik,0.08,26 May 2026
Turun,-0.15,27 May 2026
Naik,0.05,28 May 2026
