Keterangan,Persen,Tanggal
Turun,-0.05,1 Sep 2026
Naik,0.03,2 Sep 2026
Turun,-0.09,3 Sep 2026
Naik,0.02,4 Sep 2026
Turun,-0.96,5 Sep 2026
Turun,-0.96,6 Sep 2026
Naik,0.02,7 Sep 2026
Naik,0.04,8 Sep 2026
Turun,-0.08,9 Sep 2026
Turun,-0.04,10 Sep 2026
Turun,-0.06,11 Sep 2026
Naik,0.7,12 Sep 2026
Naik,0.7,13 Sep 2026
Turun,-0.22,14 Sep 2026
Turun,-0.08,15 Sep 2026
Naik,0.02,16 Sep 2026
Naik,0.22,17 Sep 2026
Naik,0.06,18 Sep 2026
Naik,0.86,19 Sep 2026
Naik,0.86,20 Sep 2026
Turun,-0.09,21 Sep 2026
Naik,0.21,22 Sep 2026
Naik,0.13,23 Sep 2026
